ζ_bias_mean,ζ_se_mean,β_bias_mean,β_se_mean,ζ_bias_median,ζ_se_median,β_bias_median,β_se_median,ζ_se_p90,ζ_se_p95,ζ_se_p99,ζ_se_max,ζ_covered,β_covered,ζ_bias_std,β_bias_std,n_successful,simulation,estimate_label,precision_weights,complete_coverage,simparamstr,sample_source
0.031147817012995387,0.20415263806558825,0.0007039776812218578,0.2901398566660676,0.004998631295283995,0.19013558903636632,0.003248930205490108,0.2801675578885443,0.2675469053570254,0.2980292432445548,0.44907547716830293,0.9181417891597394,0.95,0.925,0.21242785963699976,0.30492784719821586,400,baseline,entity_specific,twostep,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_missingperc=0.0,saved_fixture
0.059444548262460435,0.23886423738923082,0.07003860257296043,0.31711501758158184,0.03378060651321302,0.21935817274398356,0.05026226146095525,0.2989015062340018,0.330494254188789,0.4032339048629849,0.4729992324196398,1.1579289381985345,0.9725,0.9825,0.23339234737264855,0.30658252834654687,400,10% missing,entity_specific,twostep,false,N=10_T=100_K=2_ushare=0.5_σζ=1.0_missingperc=0.1,saved_fixture
0.2509228456815323,1.0615434995908792,NaN,NaN,0.3275542976191095,0.8376110906478013,NaN,NaN,1.7261550987715264,2.1749411177550044,3.6763357672435317,8.023340256468279,0.9065743944636678,0.0,0.848510782086224,NaN,289,sparse panel,fixed_effects,twostep,false,N=100_T=100_K=2_ushare=0.5_σζ=0.0_missingperc=0.9,saved_fixture
0.012161152191811547,0.3361924546311091,0.029247785965999605,0.3416309656328405,0.05615825633991145,0.2915421315695846,0.03294032041122941,0.3005764112136228,0.4131949919146165,0.4964800091069285,0.9171387501383128,5.177677486321016,0.9416243654822335,0.8857868020304569,0.31796719519330785,0.39061184950946404,394,large panel,entity_specific,twostep,false,N=100_T=1000_K=2_ushare=0.5_σζ=0.0_missingperc=0.9,saved_fixture
0.1481726507599828,10.026700319618392,0.11645725118137831,10.33412876079839,-0.23674478545399702,0.6010760290943292,-0.22764987490428323,0.6167876481390173,4.909654228126927,12.066825437203851,88.74212319118506,1756.269617428785,0.7854889589905363,0.832807570977918,1.5745573693061548,1.6326058796728262,317,concentrated,entity_specific,twostep,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,saved_fixture
0.0316128471080869,0.20294598065382297,-0.0060348476450483015,0.28756798362615954,0.012915575935581014,0.1917328374059382,0.0016120787520768065,0.2785176315062186,0.2675094208147099,0.2974898329437538,0.3726398325635444,0.5446249408821814,0.95,0.925,0.20902341420269296,0.29882759384081997,400,baseline,benchmark_twostep,twostep,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_missingperc=0.0,regenerated_paired_seed_1
0.031171972644420398,0.20287683935436326,-0.006466883888892712,0.2875088284754356,0.01270276198573339,0.1915522682418614,0.0006488432027884627,0.27842722885830284,0.2664252645504717,0.29610458666512784,0.37211562822956884,0.5446833383184531,0.95,0.925,0.20901737299252682,0.29881509596664646,400,baseline,benchmark_cue,cue,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_missingperc=0.0,regenerated_paired_seed_1
0.03161246522211483,0.1935380527038248,-0.00603521305000278,0.2809583245002415,0.012915575935581014,0.1891810977953281,0.0016120787520768065,0.27589090740569755,0.25096165202054316,0.2650735178257718,0.32166409529717666,0.36303837294589597,0.9375,0.92,0.20902346398042626,0.2988275933504738,400,baseline,benchmark_oracle,oracle,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_missingperc=0.0,regenerated_paired_seed_1
0.15169041969955785,6.7185751531662214,0.11380197977176282,6.746320388642124,-0.22641365293068216,0.6225110016537042,-0.20878909897683107,0.6266478862536241,4.941737346269179,14.18508270702118,90.57988825650656,651.0834185127384,0.8083067092651757,0.8402555910543131,1.39413254025961,1.4106029101003772,313,concentrated,benchmark_twostep,twostep,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,regenerated_paired_seed_1
0.3569848988829026,16.69852379257439,0.3224552569818275,16.483308399478016,-0.21932207351730826,0.6329634215901185,-0.20200242970284554,0.6505847414699795,8.033723425243894,17.88641207826873,395.12893678438405,1859.5022224557902,0.8099688473520249,0.8442367601246106,2.0153923156782136,2.031597484326892,321,concentrated,benchmark_cue,cue,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,regenerated_paired_seed_1
0.1516908700397431,77.34698984444948,0.11380247032011763,78.48053188832036,-0.22641365293068283,1.081631513212339,-0.20878909897683084,1.0628075530239296,11.988671242591023,58.355381395828104,741.1775763022808,11217.663588747337,1.0,1.0,1.3941326030542602,1.4106030474597062,313,concentrated,benchmark_oracle,oracle,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,regenerated_paired_seed_1
,,,,,,,,,,,,,,,,159,concentrated (guess-independence),twostep_true,twostep,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,saved_fixture
,,,,,,,,,,,,,,,,149,concentrated (guess-independence),twostep_ones,twostep,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,saved_fixture
,,,,,,,,,,,,,,,,29,concentrated (guess-independence),twostep_ols,twostep,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,saved_fixture
,,,,,,,,,,,,,,,,0,concentrated (guess-independence),cue_ols,cue,true,N=10_T=100_K=2_ushare=0.5_σζ=1.0_h=0.5_missingperc=0.0,saved_fixture
